industry,y,x,n_obs,alpha,beta,eg_adf_stat,eg_adf_pvalue,eg_adf_cv_1%,eg_adf_cv_5%,eg_adf_cv_10%,coint_tstat,coint_pvalue,coint_cv_1%,coint_cv_5%,coint_cv_10%,resid_std
火力发电,000027.SZ,002608.SZ,970,0.9686562073258731,0.44053575810008283,-2.0244674467566384,0.2759490770148445,-3.4372015433243797,-2.8645648359053517,-2.568380590610461,-2.018411895972662,0.5189949055325477,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2140062716784774
火力发电,000539.SZ,600023.SH,970,-0.2723272169841433,1.4657770373577494,-2.0154557231477095,0.27983768991975627,-3.4371305002986277,-2.864533507042016,-2.5683639036818957,-2.017575994110558,0.5194304744646993,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.13536384164062237
火力发电,000543.SZ,600795.SH,970,0.9907196116340009,0.45640743518697047,-1.9936699166767595,0.28935549892814383,-3.437180074590612,-2.8645553686071326,-2.5683755479600694,-1.9952031312381155,0.5310706599604396,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.13001461996901387
火力发电,600021.SH,600023.SH,970,1.1226281790602144,0.8213328286308963,-1.9906065121611838,0.2907069438993288,-3.437137538234527,-2.8645366106945414,-2.568365556798649,-1.99243950335561,0.5325058498686945,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.16053081195034516
火力发电,000027.SZ,000539.SZ,970,1.3818874107611872,0.2632373418276568,-1.9821154510761827,0.2944694836405254,-3.4372015433243797,-2.8645648359053517,-2.568380590610461,-1.9800564223006267,0.538928191866428,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.20740640688952308
火力发电,000027.SZ,600863.SH,970,1.5684936398503297,0.2152158776708173,-1.976582060184115,0.2969344880978302,-3.4372015433243797,-2.8645648359053517,-2.568380590610461,-1.975032140232407,0.5415297945075657,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2099907876075334
火力发电,600021.SH,600027.SH,969,1.4786262429080206,0.49056114502358183,-1.9365531562576876,0.3150654744667214,-3.437215930951362,-2.864571180534198,-2.5683839700117868,-1.9404792222099938,0.5593447654787427,-3.9077897265811763,-3.3424493683406187,-3.048834307765863,0.12718969114370524
火力发电,000027.SZ,600021.SH,970,1.078931160792545,0.3298642416986537,-1.9351820143491816,0.3156956104863453,-3.4372015433243797,-2.8645648359053517,-2.568380590610461,-1.9329275394593157,0.5632181015928441,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.20677294407524263
火力发电,000539.SZ,002608.SZ,970,-0.773678834314584,1.2396824216749103,-1.903026588952136,0.33063865007368287,-3.4371445907959832,-2.864539720789528,-2.5683672133480093,-1.9019786739879723,0.5790029554231598,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2159474149237418
火力发电,000027.SZ,601991.SH,970,1.1010548447139503,0.7319466443451366,-1.8411766155134324,0.3602186336938,-3.4372087295925664,-2.8645680048962348,-2.5683822785402914,-1.839454255397725,0.6103674079500898,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.18260930966874303
火力发电,600011.SH,600023.SH,970,-0.2908074915147303,1.6906014161853413,-1.8204872718531788,0.3703388096661569,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.821480307421752,0.6192308494130935,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2194690081379163
火力发电,000539.SZ,600795.SH,970,0.8943887627153628,0.6330168660200077,-1.8143959974788175,0.37333826539820675,-3.4371445907959832,-2.864539720789528,-2.5683672133480093,-1.8168446468784922,0.6215045269776653,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.1334213065280974
火力发电,600011.SH,601991.SH,970,0.3647938493233909,1.504964477527611,-1.8086014153048775,0.3761997689450212,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.810033452889017,0.6248358063460733,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.19867951944640552
火力发电,600023.SH,600795.SH,970,0.9600508498089639,0.2606927446472559,-1.8026403331167824,0.3791516316724488,-3.437123476942836,-2.8645304098119544,-2.568362253987091,-1.8039686529296328,0.6277923981699374,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.10306997734514015
火力发电,600023.SH,600027.SH,969,0.8054049866430986,0.3111194247598251,-1.781077801293043,0.3898956770901858,-3.4371305002986277,-2.864533507042016,-2.5683639036818957,-1.7826269367867118,0.6381218072630539,-3.9077897265811763,-3.3424493683406187,-3.048834307765863,0.09185266856005271
火力发电,600795.SH,601991.SH,970,-0.42331861795638037,1.4962570166033675,-1.7735416109719178,0.39367439166539897,-3.437137538234527,-2.8645366106945414,-2.568365556798649,-1.7798984039417032,0.6394337890410454,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.18830593972796528
火力发电,000543.SZ,600863.SH,970,0.8890049726507523,0.5564203763731219,-1.763103860975185,0.39892725577492927,-3.4372015433243797,-2.8645648359053517,-2.568380590610461,-1.7655322546673182,0.6463081668773942,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.13397884229794615
火力发电,000539.SZ,001286.SZ,179,-0.8036334570185844,1.2057225277347652,-1.758800097507189,0.4010994916762894,-3.4691814633722453,-2.878595143532943,-2.5758625549741803,-1.7590721042986672,0.6493807520380644,-3.9590256962504737,-3.370671749779068,-3.068362814038631,0.07987742030152932
火力发电,000027.SZ,600023.SH,970,1.080489563318805,0.5757001342626138,-1.7365129396081798,0.41240484058927407,-3.437274090836024,-2.8645968274636933,-2.5683976306326097,-1.727808493396345,0.6640796996520157,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.20300384213114378
火力发电,000543.SZ,600578.SH,970,0.0008951138768358291,1.3915483685701568,-1.6881118198962195,0.4372477988441458,-3.4371305002986277,-2.864533507042016,-2.5683639036818957,-1.6914459107309834,0.6808005444537475,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.12858699188737235
火力发电,000027.SZ,600578.SH,970,1.0128835105697256,0.7450172452039747,-1.6798348824945453,0.4415309502352685,-3.4372087295925664,-2.8645680048962348,-2.5683822785402914,-1.676794064784803,0.687417686200692,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.20302002901825553
火力发电,600011.SH,600157.SH,966,1.2953333407649572,1.0930250415475502,-1.667326406448807,0.4480206098029592,-3.437151658028634,-2.8645428373470563,-2.5683688733406793,-1.668854499360948,0.6909735293960895,-3.9078251222851623,-3.3424690367526644,-3.048847946790518,0.2817894854948171
火力发电,000539.SZ,000543.SZ,970,0.04342737287256959,1.020679039511657,-1.582458873397091,0.49239873029256703,-3.4371658366910216,-2.8645490899304784,-2.5683722036989813,-1.586481959879439,0.726561840521849,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.13049777939078155
火力发电,001286.SZ,002608.SZ,179,0.9827393689052762,0.6233637204109388,-1.6823307265720755,0.4402384386940346,-3.4691814633722453,-2.878595143532943,-2.5758625549741803,-1.5477286200337803,0.74243910153773,-3.9590256962504737,-3.370671749779068,-3.068362814038631,0.08717711866968901
火力发电,000543.SZ,600157.SH,966,1.4516367009976898,-0.054417265896693046,-1.2920670598117086,0.6327937832956624,-3.4371658366910216,-2.8645490899304784,-2.5683722036989813,-1.4542180237009301,0.7783258120075875,-3.9078251222851623,-3.3424690367526644,-3.048847946790518,0.1898331579605687
火力发电,000539.SZ,600157.SH,966,1.3009734604177934,0.47704178199007385,-1.429253339112097,0.5681741574961773,-3.4371729482129885,-2.8645522259969534,-2.568373874086242,-1.430087129598277,0.7870142753582585,-3.9078251222851623,-3.3424690367526644,-3.048847946790518,0.22661920262903695
