ts_code,industry
600906.SH,证券
600909.SH,证券
600918.SH,证券
600919.SH,银行
600925.SH,煤炭开采
600926.SH,银行
600927.SH,多元金融
600928.SH,银行
600938.SH,石油开采
600941.SH,电信运营
600956.SH,供气供热
600958.SH,证券
600959.SH,影视音像
600968.SH,石油开采
600970.SH,建筑工程
600977.SH,影视音像
600985.SH,煤炭开采
600988.SH,黄金
600989.SH,化工原料
600995.SH,水力发电
600998.SH,医药商业
600999.SH,证券
601000.SH,港口
601001.SH,煤炭开采
601006.SH,铁路
601009.SH,银行
601012.SH,电气设备
601016.SH,新型电力
601019.SH,出版业
601021.SH,空运
601058.SH,汽车配件
601059.SH,证券
601061.SH,商贸代理
601066.SH,证券
601077.SH,银行
601088.SH,煤炭开采
601098.SH,出版业
601099.SH,证券
601100.SH,工程机械
601106.SH,工程机械
601108.SH,证券
601111.SH,空运
601117.SH,建筑工程
601118.SH,橡胶
601127.SH,汽车整车
601128.SH,银行
601136.SH,证券
601138.SH,通信设备
601139.SH,供气供热
601155.SH,区域地产
601156.SH,仓储物流
601158.SH,水务
601162.SH,证券
601166.SH,银行
601168.SH,铜
601169.SH,银行
601179.SH,电气设备
601186.SH,建筑工程
601198.SH,证券
601211.SH,证券
601212.SH,铜
601216.SH,化工原料
601225.SH,煤炭开采
601228.SH,港口
601229.SH,银行
601231.SH,元器件
601233.SH,化纤
601236.SH,证券
601238.SH,汽车整车
601288.SH,银行
601298.SH,港口
601318.SH,保险
601319.SH,保险
601328.SH,银行
601333.SH,铁路
601336.SH,保险
601360.SH,互联网
601377.SH,证券
601390.SH,建筑工程
601398.SH,银行
601399.SH,工程机械
601456.SH,证券
601555.SH,证券
601568.SH,化工原料
601577.SH,银行
601598.SH,仓储物流
601600.SH,铝
601601.SH,保险
601607.SH,医药商业
601608.SH,专用机械
601611.SH,建筑工程
601615.SH,电气设备
601618.SH,建筑工程
601628.SH,保险
601633.SH,汽车整车
601636.SH,玻璃
601658.SH,银行
601665.SH,银行
601666.SH,煤炭开采
601668.SH,建筑工程
601669.SH,建筑工程
601688.SH,证券
601689.SH,汽车配件
601696.SH,证券
601698.SH,电信运营
601699.SH,煤炭开采
601717.SH,专用机械
601728.SH,电信运营
601766.SH,运输设备
601788.SH,证券
601799.SH,汽车配件
601800.SH,建筑工程
601808.SH,石油开采
601816.SH,铁路
601818.SH,银行
601825.SH,银行
601838.SH,银行
601857.SH,石油开采
601858.SH,出版业
601865.SH,玻璃
601866.SH,水运
601868.SH,建筑工程
601872.SH,水运
601877.SH,电气设备
601878.SH,证券
601880.SH,港口
601881.SH,证券
601888.SH,旅游服务
601898.SH,煤炭开采
601899.SH,铜
601901.SH,证券
601916.SH,银行
601918.SH,煤炭开采
601919.SH,水运
601921.SH,出版业
601928.SH,出版业
601933.SH,超市连锁
601939.SH,银行
601958.SH,小金属
601965.SH,汽车服务
601966.SH,汽车配件
601985.SH,新型电力
601988.SH,银行
601990.SH,证券
601991.SH,火力发电
601995.SH,证券
601997.SH,银行
601998.SH,银行
603000.SH,互联网
603019.SH,IT设备
603077.SH,化工原料
603087.SH,生物制药
603129.SH,摩托车
603156.SH,软饮料
603160.SH,半导体
603179.SH,汽车配件
603195.SH,家用电器
603225.SH,化纤
603228.SH,元器件
603233.SH,医药商业
603259.SH,化学制药
603260.SH,化工原料
603288.SH,食品
603290.SH,半导体
603296.SH,元器件
603298.SH,工程机械
603338.SH,工程机械
603341.SH,通信设备
603345.SH,食品
603369.SH,白酒
603379.SH,化工原料
603392.SH,生物制药
603486.SH,家用电器
603501.SH,半导体
603529.SH,摩托车
603556.SH,电器仪表
603565.SH,水运
603568.SH,环境保护
603589.SH,白酒
603596.SH,汽车配件
603605.SH,日用化工
603606.SH,电气设备
603650.SH,化工原料
603658.SH,医疗保健
603659.SH,化工原料
603688.SH,矿物制品
603707.SH,生物制药
603728.SH,电气设备
603737.SH,染料涂料
603786.SH,汽车配件
603799.SH,小金属
603806.SH,塑料
603816.SH,家居用品
603826.SH,染料涂料
603833.SH,家居用品
603858.SH,中成药
603868.SH,家用电器
603885.SH,空运
603893.SH,半导体
603899.SH,文教休闲
603927.SH,软件服务
603939.SH,医药商业
603979.SH,铜
603986.SH,半导体
603993.SH,小金属
605117.SH,电气设备
605358.SH,半导体
605499.SH,软饮料
605589.SH,化工原料
688002.SH,通信设备
688008.SH,半导体
688009.SH,运输设备
688012.SH,半导体
688017.SH,机械基件
688027.SH,通信设备
688032.SH,电气设备
688036.SH,通信设备
688041.SH,半导体
688047.SH,半导体
688052.SH,半导体
688065.SH,化工原料
688072.SH,半导体
688082.SH,半导体
688099.SH,半导体
688100.SH,通信设备
688111.SH,软件服务
688114.SH,医疗保健
688120.SH,半导体
688122.SH,小金属
688126.SH,半导体
688153.SH,半导体
688169.SH,家用电器
688172.SH,半导体
688180.SH,生物制药
688183.SH,元器件
688187.SH,运输设备
688188.SH,专用机械
688213.SH,半导体
688220.SH,半导体
688223.SH,电气设备
688234.SH,半导体
688235.SH,生物制药
688248.SH,电气设备
688249.SH,半导体
688256.SH,半导体
688271.SH,医疗保健
688278.SH,生物制药
688281.SH,航空
688295.SH,化纤
688297.SH,航空
688301.SH,医疗保健
688303.SH,电气设备
688318.SH,软件服务
688349.SH,电气设备
688361.SH,半导体
688363.SH,医疗保健
688375.SH,元器件
688385.SH,半导体
688387.SH,通信设备
688396.SH,半导体
688425.SH,工程机械
688469.SH,半导体
688472.SH,电气设备
688475.SH,IT设备
688506.SH,化学制药
688520.SH,生物制药
688521.SH,半导体
688525.SH,半导体
688538.SH,半导体
688561.SH,软件服务
688563.SH,航空
688568.SH,软件服务
688578.SH,化学制药
688582.SH,元器件
688599.SH,电气设备
688608.SH,半导体
688617.SH,医疗保健
688676.SH,电气设备
688702.SH,半导体
688728.SH,半导体
688772.SH,电气设备
688777.SH,专用机械
688778.SH,电气设备
688819.SH,电气设备
688981.SH,半导体
689009.SH,摩托车
