industry,y,x,n_obs,alpha,beta,eg_adf_stat,eg_adf_pvalue,eg_adf_cv_1%,eg_adf_cv_5%,eg_adf_cv_10%,coint_tstat,coint_pvalue,coint_cv_1%,coint_cv_5%,coint_cv_10%,resid_std,hl_days,rho,kappa,n_hl
化学制药,300573.SZ,600062.SH,970,2.9658525913913394,0.3110165702725669,-1.942797303611173,0.3122033173076499,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.9450545891485875,0.5569942279423885,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2838730454803317,78.6387773689383,0.9912244143478438,-0.00877558565215617,969
化学制药,000963.SZ,600079.SH,960,3.1206411659084425,0.121414317645799,-1.943106729727954,0.3120618041782998,-3.437274090836024,-2.8645968274636933,-2.5683976306326097,-1.9385699503502691,0.5603247963501238,-3.9078965801620345,-3.342508743172904,-3.048875481009176,0.2602603449128035,117.11515796003486,0.9940989703280532,-0.00590102967194688,959
化学制药,000963.SZ,301301.SZ,246,2.4049046531780935,0.5978035949667202,-1.9293672346422903,0.3183744213298976,-3.457437824930831,-2.873459364726563,-2.573122099570008,-1.9329720511139357,0.563195294521247,-3.941700183256976,-3.3611828529779255,-3.0618063348604747,0.0710291111209472,15.858022857819105,0.9572319368156175,-0.04276806318438249,245
化学制药,000739.SZ,301301.SZ,246,-0.8697318479898266,1.7247651112161924,-1.9630603143835448,0.3030009332872814,-3.4578942529658563,-2.8736593200231484,-2.573228767361111,-1.9298450109146696,0.5647968494831617,-3.941700183256976,-3.3611828529779255,-3.0618063348604747,0.1177413809291396,13.543774149474997,0.9501092618928194,-0.049890738107180636,245
化学制药,002294.SZ,600196.SH,970,2.859527634391686,0.1204372960888582,-1.9212587500332396,0.322127353551574,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.9224677266585408,0.5685695417481695,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2098630037558558,102.56889067476196,0.9932649135242021,-0.006735086475797927,969
化学制药,002294.SZ,600380.SH,970,1.4453012856021243,0.7456576151565198,-1.8970532772922728,0.333448609405605,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.8982106132043035,0.5809141573518768,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.1867369254444424,98.03817402004188,0.9929547585352785,-0.007045241464721517,969
化学制药,000739.SZ,600079.SH,960,2.4307829011531292,0.1935683408089541,-1.894924340206462,0.3344526158425542,-3.43718721587049,-2.8645585177815187,-2.568377225331392,-1.8957551601882163,0.5821582644749628,-3.9078965801620345,-3.342508743172904,-3.048875481009176,0.2425707129063132,100.69358071840816,0.9931399109829351,-0.006860089017064891,959
化学制药,002294.SZ,600521.SH,970,2.812449555466179,0.1606569155012298,-1.8804700775996352,0.3413036353113057,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.881679162465567,0.5892692857246937,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2090969635081138,107.1345194373361,0.9935510074288152,-0.006448992571184767,969
化学制药,002294.SZ,301301.SZ,246,1.55940708184426,0.8725947633723199,-1.8742508007035157,0.3442695907856558,-3.457437824930831,-2.873459364726563,-2.573122099570008,-1.877696208072812,0.5912747562946371,-3.941700183256976,-3.3611828529779255,-3.0618063348604747,0.0862226779589478,15.415670498715501,0.9560320861332348,-0.04396791386676522,245
化学制药,000963.SZ,600196.SH,970,3.302217147848758,0.0508881480031422,-1.872298191316564,0.3452029993916354,-3.437123476942836,-2.8645304098119544,-2.568362253987091,-1.8731251669267248,0.5935725832671702,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2698476623227945,118.57851387064377,0.9941715812247169,-0.005828418775283067,969
化学制药,000739.SZ,002294.SZ,970,2.1138464097284455,0.2766721896772264,-1.87037568549773,0.3461230436747419,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.8712360996431816,0.5945210131507899,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2394249158965579,101.39300569273199,0.9931870713916943,-0.006812928608305784,969
化学制药,002262.SZ,603259.SH,970,4.119250631734826,-0.2967863985426886,-1.8650830638769136,0.3486611305161849,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.866529981585736,0.5968807037792794,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2814428909243539,115.24167754823529,0.9940033256810797,-0.005996674318920231,969
化学制药,000963.SZ,600380.SH,970,4.110178372400709,-0.2498381690754531,-1.8607181332884013,0.3507600543685203,-3.4371587399783072,-2.8645459603872903,-2.568370536787406,-1.8584057142421064,0.600943742318265,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.268078085690576,89.11790994365515,0.9922523031218898,-0.007747696878110196,969
化学制药,002001.SZ,600521.SH,970,2.39864592054104,0.1759420144507371,-1.854677550561301,0.3536731455929858,-3.4371729482129885,-2.864552225996954,-2.568373874086242,-1.8539653177988449,0.6031586567621557,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.1610892207213245,78.34378330508575,0.9911915168983904,-0.008808483101609641,969
化学制药,002422.SZ,300558.SZ,970,3.7803995314417342,-0.1774017241226604,-1.847431372678327,0.3571803384302608,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.8487192325835031,0.6057700681356609,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.1796426947264137,87.75880858907419,0.9921327894596094,-0.007867210540390654,969
化学制药,002001.SZ,600380.SH,970,2.7582552737147803,0.0703083219548226,-1.8487756980453431,0.3565286409523073,-3.4371729482129885,-2.864552225996954,-2.568373874086242,-1.8481877467862784,0.6060343027071194,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.166282854486362,78.15503054169298,0.9911703376648765,-0.008829662335123499,969
化学制药,000963.SZ,002262.SZ,970,2.058316929159881,0.5116309607762339,-1.846502758556786,0.3576307825349124,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.8474102474358536,0.6064207356077153,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2249638017683563,101.48857524235385,0.9931934650924004,-0.0068065349075996425,969
化学制药,300759.SZ,600276.SH,970,3.16930811840313,0.1591882005113327,-1.8461190329842985,0.3578169819700267,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.8466427292217216,0.6068020788565507,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.3808215312493911,130.7080214262399,0.9947110167302298,-0.005288983269770278,969
化学制药,300573.SZ,600276.SH,970,3.972501965735124,-0.048473672491232,-1.8361786937228857,0.3626535917414449,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.838635697540552,0.6107726674763729,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2959390763877586,85.42847860330852,0.9919190560012133,-0.008080943998786722,969
化学制药,002294.SZ,300759.SZ,970,2.7806954113616467,0.1369469380808392,-1.8239927237633011,0.3686166999138329,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.8252296007385456,0.6173881672446122,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2060438799437606,107.85656510892254,0.9935940416246711,-0.006405958375328841,969
化学制药,000963.SZ,002653.SZ,970,2.9551577212267226,0.1768515411013718,-1.7891412693385258,0.385865922402573,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-1.7901043128506118,0.6345162444970731,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.2686535683387191,119.48373410913368,0.9942156099272393,-0.005784390072760707,969
