industry,y,x,n_obs,alpha,beta,eg_adf_stat,eg_adf_pvalue,eg_adf_cv_1%,eg_adf_cv_5%,eg_adf_cv_10%,coint_tstat,coint_pvalue,coint_cv_1%,coint_cv_5%,coint_cv_10%,resid_std,hl_days,rho,kappa,n_hl,score
家用电器,603195.SH,603868.SH,951,4.537392135764854,-0.1673691157043806,-6.179072958097599,6.521761152349013e-08,-3.4372521657769353,-2.864587159166059,-2.5683924808864265,-6.179200427942887,6.600482560833136e-07,-3.908005464819945,-3.3425692443213295,-3.048917434903047,0.1223823018374078,16.807646915843048,0.9595988087742714,-0.0404011912257286,950,0.34706574884740454
化学制药,688506.SH,688578.SH,239,1.7095775550748136,0.8168678519602386,-3.9956342565045326,0.0014335448856102,-3.4583663275730476,-2.8738660999177132,-2.5733390785693766,-3.97002808179288,0.0079201063103689,-3.943048276251677,-3.3619231431396086,-3.0623181872749097,0.1370233744743256,5.185738319920457,0.8748838659428032,-0.1251161340571968,238,0.3396957453140963
化工原料,600989.SH,605589.SH,581,1.6602721788656205,0.2971045393548459,-4.692299674461005,8.700081629909601e-05,-3.4416749612171467,-2.866536067284432,-2.569430763971462,-4.696468866449442,0.0005718404401531,-3.915422250297265,-3.346684937574316,-3.0517704994054697,0.0616150109501953,8.990538059430394,0.925799668955844,-0.0742003310441559,580,0.324579628805001
铜,601212.SH,601899.SH,970,1.1159650709729738,-0.0329505067422455,-5.364090790603591,4.027897142460507e-06,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-5.366650469308026,3.30013448648299e-05,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.0718843464996007,13.052396442513844,0.948280461966917,-0.051719538033083,969,0.3189113244708394
电气设备,002074.SZ,002202.SZ,963,0.0608507786669871,1.395472809455038,-5.656679764699545,9.5853993177075e-07,-3.4371943720994165,-2.8645616735407,-2.568378906211183,-5.644317875169924,9.119872892528756e-06,-3.907860739450469,-3.3424888279787863,-3.04886167093849,0.1536345634853229,16.116473602742285,0.9579031393469768,-0.0420968606530231,962,0.2944538303593802
生物制药,603392.SH,603707.SH,893,3.2423734644069935,0.3855202798430772,-6.489001295259748,1.2401357331967481e-08,-3.437760586044626,-2.864811339325146,-2.5685118915381913,-6.282036452775951,3.9044362388525955e-07,-3.908760051931469,-3.3429884631201108,-3.0492081270486033,0.4213998106910175,21.030755232688048,0.9675784816589388,-0.0324215183410611,892,0.29088615425616726
火力发电,002608.SZ,600023.SH,970,1.4100953335901405,0.3512047403034737,-5.025413301074346,1.976150463686e-05,-3.437137538234527,-2.864536610694542,-2.568365556798649,-5.026587599318881,0.0001470714759329,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.055326098087157,13.054267914942956,0.9482876814245558,-0.0517123185754442,969,0.27269094145625283
小金属,002460.SZ,603799.SH,970,0.3590595901420128,0.9634957825406008,-5.30792724186703,5.272373407577187e-06,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-5.310042608015649,4.259215204324108e-05,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.1003196864889418,15.103581600892628,0.9551442513654832,-0.0448557486345166,969,0.2714098344208479
化工原料,002312.SZ,603260.SH,955,-0.3626917280956578,0.5983691679633404,-5.078524220131874,1.5482033077006264e-05,-3.437237626048241,-2.8645807475403657,-2.56838906578808,-5.079937896454282,0.0001170584340744,-3.907956817196929,-3.342542213827688,-3.0488986909361,0.0971458583528294,13.544237447522985,0.9501109251737232,-0.0498890748262769,954,0.2703199328294405
元器件,000021.SZ,688375.SH,352,8.846256139053096,-1.5112557357364795,-4.038591087367583,0.0012213858327188,-3.44911857009962,-2.8698097654570507,-2.5711757061225153,-4.0442734227513,0.0062034627790842,-3.9279141268333864,-3.3535930733516772,-3.056555268626066,0.1339682507052136,7.475162123852203,0.9114425556055666,-0.0885574443944333,351,0.2604511615173187
